발생원인_기타,피해면적_합계,화재시간,latitude ,longitude,기온,풍속,습도,강수량,임목존재코드,임종코드,임상코드,수종그룹코드,ta,ws,hm,pa,pv,td,ts,dc10Tca,dc10LmcsCa,시도,시군구,읍면동리,피해금액
885,2.740840023925201,20.0,36.16288888888889,128.72115833333334,-1.3,23.8,60.0,0.12,1.0,2.0,1.0,11.0,6.9,7.3,15.0,1012.0,1.5,-18.0,11.3,0.0,0.0,대구,군위,삼국유사,199866549
828,0.0582689081239757,2.0,37.47933888888889,127.41287222222223,2.1,19.8,81.0,0.19,1.0,2.0,1.0,11.0,9.5,2.9,49.0,1011.4,5.8,-0.7,6.6,7.0,2.0,경기,양평,강하,6909313
270,0.009950330853168,3.0,37.71243888888889,126.77584722222224,3.9,21.2,70.0,0.04,1.0,2.0,3.0,77.0,9.1,4.2,58.0,1004.0,6.7,1.2,0.9,8.0,8.0,경기,파주,금릉,4082193
573,0.009950330853168,1.0,37.76466944444444,128.89466388888889,0.6,19.1,45.0,0.01,1.0,2.0,1.0,11.0,-1.8,6.7,35.0,931.0,1.9,-15.2,-1.3,2.0,1.0,강원,강릉,운정,4082193
715,0.1823215567939546,3.0,38.076369444444445,128.60751944444445,-2.2,31.7,41.0,0.0,1.0,2.0,1.0,11.0,-11.7,6.3,61.0,927.2,1.5,-17.7,-5.9,0.0,0.0,강원,양양,현북,14167634
715,0.0861776962410523,3.0,34.52146388888889,127.75868055555556,5.4,37.4,63.0,0.0,1.0,2.0,1.0,15.0,2.2,2.4,58.0,1018.9,4.2,-5.2,0.9,10.0,8.0,전남,여수,남,8542257
715,0.048790164169432,1.0,34.953469444444444,127.49705833333331,4.0,27.7,65.0,0.01,2.0,0.0,0.0,82.0,7.2,2.6,53.0,1016.1,5.4,-1.7,11.5,6.0,6.0,전남,순천,별량,6354712
885,0.1823215567939546,3.0,35.868922222222224,128.51076111111112,2.0,24.1,66.0,0.02,1.0,1.0,2.0,49.0,7.9,6.3,35.0,1015.3,3.7,-6.6,10.3,1.0,1.0,대구,군위,군위,14167634
78,0.1397619423751587,4.0,36.198775,128.4489638888889,0.5,12.2,65.0,0.0,1.0,2.0,2.0,34.0,4.0,0.4,30.0,1020.4,2.4,-12.0,-0.1,0.0,0.0,경북,구미,산동,11677471
575,0.1823215567939546,2.0,37.60694166666667,127.29670277777778,-0.1,5.4,49.0,0.91,1.0,2.0,2.0,30.0,4.1,1.6,53.0,1011.0,4.3,-4.6,1.5,9.0,9.0,경기,남양주,화도,14167634
755,0.5306282510621704,12.0,34.825275000000005,127.900425,2.7,14.4,48.0,0.0,1.0,2.0,1.0,15.0,4.0,1.3,44.0,1017.9,3.6,-7.1,0.6,3.0,0.0,경남,남해,미조,38547058
828,0.009950330853168,3.0,37.78650555555556,126.93801666666668,-1.2,6.5,28.0,0.0,1.0,2.0,2.0,34.0,1.2,0.8,40.0,1016.4,2.7,-10.9,2.2,0.0,0.0,경기,파주,광탄,4082193
1053,0.048790164169432,2.0,36.7719,127.94534444444444,-2.6,6.5,43.0,0.0,1.0,2.0,1.0,11.0,-0.9,1.3,47.0,1024.3,2.7,-10.8,7.2,0.0,0.0,충북,괴산,연풍,6354712
828,0.2070141693843261,2.0,37.88840833333333,127.73390833333332,-6.1,5.0,46.0,0.0,1.0,2.0,1.0,11.0,-0.6,1.5,35.0,1015.3,2.0,-14.2,6.3,0.0,0.0,강원,춘천,동,15612399
